Concentration (g/m^3) Time Series
X = 352.500  Y = 282.500  Z = 2.500

    Time    Concentration (g/m^3)
   20.00       0.000e+00
   40.00       0.000e+00
   60.00       0.000e+00
   80.00       0.000e+00
  100.00       0.000e+00
  120.00       5.000e-08
  140.00       0.000e+00
  160.00       0.000e+00
  180.00       0.000e+00
  200.00       0.000e+00
  220.00       5.000e-08
  240.00       0.000e+00
  260.00       0.000e+00
  280.00       0.000e+00
  300.00       0.000e+00
  320.00       0.000e+00
  340.00       0.000e+00
  360.00       0.000e+00
  380.00       0.000e+00
  400.00       0.000e+00
  420.00       0.000e+00
  440.00       0.000e+00
  460.00       0.000e+00
  480.00       0.000e+00
  500.00       5.000e-08
  520.00       0.000e+00
  540.00       0.000e+00
  560.00       0.000e+00
  580.00       5.000e-08
  600.00       0.000e+00
  620.00       5.000e-08
  640.00       2.500e-07
  660.00       5.000e-08
  680.00       1.500e-07
  700.00       1.000e-07
  720.00       5.000e-08
  740.00       1.500e-07
  760.00       5.000e-08
  780.00       0.000e+00
  800.00       1.000e-07
  820.00       5.000e-08
  840.00       0.000e+00
  860.00       5.000e-08
  880.00       0.000e+00
  900.00       0.000e+00
  920.00       0.000e+00
  940.00       5.000e-08
  960.00       1.500e-07
  980.00       1.000e-07
 1000.00       2.000e-07
 1020.00       3.000e-07
 1040.00       5.000e-08
 1060.00       0.000e+00
 1080.00       5.000e-08
 1100.00       0.000e+00
 1120.00       5.000e-08
 1140.00       1.500e-07
 1160.00       1.000e-07
 1180.00       3.000e-07
 1200.00       5.000e-08
 1220.00       2.000e-07
 1240.00       1.000e-07
 1260.00       2.000e-07
 1280.00       5.000e-08
 1300.00       1.000e-07
 1320.00       5.000e-08
 1340.00       5.000e-08
 1360.00       1.500e-07
 1380.00       0.000e+00
 1400.00       5.000e-08
 1420.00       0.000e+00
 1440.00       5.000e-08
 1460.00       0.000e+00
 1480.00       5.000e-08
 1500.00       5.000e-08
 1520.00       0.000e+00
 1540.00       1.500e-07
 1560.00       0.000e+00
 1580.00       0.000e+00
 1600.00       5.000e-08
 1620.00       0.000e+00
 1640.00       0.000e+00
 1660.00       5.000e-08
 1680.00       0.000e+00
 1700.00       0.000e+00
 1720.00       5.000e-08
 1740.00       1.000e-07
 1760.00       5.000e-08
 1780.00       0.000e+00
 1800.00       0.000e+00
 1820.00       0.000e+00
 1840.00       1.000e-07
 1860.00       5.000e-08
 1880.00       0.000e+00
 1900.00       5.000e-08
 1920.00       0.000e+00
 1940.00       5.000e-08
 1960.00       0.000e+00
 1980.00       0.000e+00
 2000.00       0.000e+00
 2020.00       0.000e+00
 2040.00       0.000e+00
 2060.00       0.000e+00
 2080.00       0.000e+00
 2100.00       0.000e+00
 2120.00       0.000e+00
 2140.00       0.000e+00
 2160.00       1.000e-07
 2180.00       1.000e-07
 2200.00       1.000e-07
 2220.00       1.000e-07
 2240.00       1.000e-07
 2260.00       1.000e-07
 2280.00       5.000e-08
 2300.00       1.000e-07
 2320.00       0.000e+00
 2340.00       1.000e-07
 2360.00       1.000e-07
 2380.00       1.000e-07
 2400.00       3.000e-07
 2420.00       0.000e+00
 2440.00       5.000e-08
 2460.00       2.000e-07
 2480.00       2.500e-07
 2500.00       2.000e-07
 2520.00       1.000e-07
 2540.00       1.500e-07
 2560.00       5.000e-08
 2580.00       0.000e+00
 2600.00       1.000e-07
 2620.00       0.000e+00
 2640.00       2.000e-07
 2660.00       5.000e-08
 2680.00       2.500e-07
 2700.00       0.000e+00
 2720.00       2.000e-07
 2740.00       0.000e+00
 2760.00       5.000e-08
 2780.00       5.000e-08
 2800.00       1.500e-07
 2820.00       0.000e+00
 2840.00       5.000e-08
 2860.00       5.000e-08
 2880.00       0.000e+00
 2900.00       0.000e+00
 2920.00       1.500e-07
 2940.00       5.000e-08
 2960.00       0.000e+00
 2980.00       1.000e-07
 3000.00       0.000e+00
 3020.00       1.500e-07
 3040.00       0.000e+00
 3060.00       1.000e-07
 3080.00       1.000e-07
 3100.00       1.500e-07
 3120.00       1.000e-07
 3140.00       1.000e-07
 3160.00       1.500e-07
 3180.00       1.500e-07
 3200.00       0.000e+00
 3220.00       0.000e+00
 3240.00       1.000e-07
 3260.00       5.000e-08
 3280.00       5.000e-08
 3300.00       0.000e+00
 3320.00       5.000e-08
 3340.00       0.000e+00
 3360.00       5.000e-08
 3380.00       5.000e-08
 3400.00       0.000e+00
 3420.00       0.000e+00
 3440.00       1.500e-07
 3460.00       0.000e+00
 3480.00       5.000e-08
 3500.00       5.000e-08
 3520.00       0.000e+00
 3540.00       5.000e-08
 3560.00       0.000e+00
 3580.00       0.000e+00
 3600.00       5.000e-08
 3620.00       0.000e+00
 3640.00       0.000e+00
 3660.00       1.000e-07
 3680.00       1.500e-07
 3700.00       1.000e-07
 3720.00       1.000e-07
 3740.00       3.000e-07
 3760.00       1.000e-07
 3780.00       2.500e-07
 3800.00       1.000e-07
 3820.00       5.000e-08
 3840.00       3.000e-07
 3860.00       3.000e-07
 3880.00       3.500e-07
 3900.00       2.500e-07
 3920.00       2.500e-07
 3940.00       0.000e+00
 3960.00       2.500e-07
 3980.00       0.000e+00
 4000.00       0.000e+00
 4020.00       5.000e-08
 4040.00       0.000e+00
 4060.00       0.000e+00
 4080.00       0.000e+00
 4100.00       5.000e-08
 4120.00       1.000e-07
 4140.00       0.000e+00
 4160.00       0.000e+00
 4180.00       0.000e+00
 4200.00       0.000e+00
 4220.00       0.000e+00
 4240.00       5.000e-08
 4260.00       0.000e+00
 4280.00       5.000e-08
 4300.00       5.000e-08
 4320.00       0.000e+00
 4340.00       0.000e+00
 4360.00       5.000e-08
 4380.00       1.000e-07
 4400.00       0.000e+00
 4420.00       5.000e-08
 4440.00       0.000e+00
 4460.00       5.000e-08
 4480.00       5.000e-08
 4500.00       0.000e+00
 4520.00       0.000e+00
 4540.00       5.000e-08
 4560.00       0.000e+00
 4580.00       5.000e-08
 4600.00       5.000e-08
 4620.00       5.000e-08
 4640.00       1.000e-07
 4660.00       5.000e-08
 4680.00       1.000e-07
 4700.00       2.000e-07
 4720.00       1.000e-07
 4740.00       0.000e+00
 4760.00       2.000e-07
 4780.00       1.500e-07
 4800.00       1.000e-07
 4820.00       5.000e-08
 4840.00       5.000e-08
 4860.00       0.000e+00
 4880.00       0.000e+00
 4900.00       0.000e+00
 4920.00       0.000e+00
 4940.00       0.000e+00
 4960.00       0.000e+00
 4980.00       0.000e+00
 5000.00       0.000e+00
 5020.00       0.000e+00
 5040.00       0.000e+00
 5060.00       0.000e+00
 5080.00       0.000e+00
 5100.00       0.000e+00
 5120.00       0.000e+00
 5140.00       0.000e+00
 5160.00       0.000e+00
 5180.00       0.000e+00
 5200.00       0.000e+00
 5220.00       5.000e-08
 5240.00       0.000e+00
 5260.00       0.000e+00
 5280.00       0.000e+00
 5300.00       0.000e+00
 5320.00       5.000e-08
 5340.00       0.000e+00
 5360.00       0.000e+00
 5380.00       0.000e+00
 5400.00       5.000e-08
 5420.00       1.000e-07
 5440.00       0.000e+00
 5460.00       1.000e-07
 5480.00       0.000e+00
 5500.00       5.000e-08
 5520.00       5.000e-08
 5540.00       0.000e+00
 5560.00       0.000e+00
 5580.00       1.500e-07
 5600.00       5.000e-08
 5620.00       1.500e-07
 5640.00       1.000e-07
 5660.00       2.500e-07
 5680.00       3.000e-07
 5700.00       3.000e-07
 5720.00       1.000e-07
 5740.00       2.500e-07
 5760.00       2.000e-07
 5780.00       1.500e-07
 5800.00       5.000e-08
 5820.00       0.000e+00
 5840.00       5.000e-08
 5860.00       0.000e+00
 5880.00       0.000e+00
 5900.00       1.000e-07
 5920.00       5.000e-08
 5940.00       0.000e+00
 5960.00       5.000e-08
 5980.00       1.000e-07
 6000.00       5.000e-08
 6020.00       0.000e+00
 6040.00       0.000e+00
 6060.00       5.000e-08
 6080.00       2.500e-07
 6100.00       1.000e-07
 6120.00       5.000e-08
 6140.00       5.000e-08
 6160.00       1.000e-07
 6180.00       3.000e-07
 6200.00       5.000e-08
 6220.00       1.000e-07
 6240.00       0.000e+00
 6260.00       5.000e-08
 6280.00       2.000e-07
 6300.00       5.000e-08
 6320.00       0.000e+00
 6340.00       5.000e-08
 6360.00       0.000e+00
 6380.00       1.000e-07
 6400.00       1.000e-07
 6420.00       0.000e+00
 6440.00       3.500e-07
 6460.00       1.500e-07
 6480.00       0.000e+00
 6500.00       5.000e-08
 6520.00       0.000e+00
 6540.00       0.000e+00
 6560.00       1.000e-07
 6580.00       1.000e-07
 6600.00       5.000e-08
 6620.00       3.000e-07
 6640.00       3.500e-07
 6660.00       1.500e-07
 6680.00       1.500e-07
 6700.00       4.000e-07
 6720.00       2.000e-07
 6740.00       2.000e-07
 6760.00       1.500e-07
 6780.00       3.000e-07
 6800.00       5.000e-07
 6820.00       1.000e-07
 6840.00       1.000e-07
 6860.00       1.500e-07
 6880.00       2.500e-07
 6900.00       1.500e-07
 6920.00       5.000e-08
 6940.00       1.000e-07
 6960.00       5.000e-08
 6980.00       3.000e-07
 7000.00       1.500e-07
 7020.00       1.000e-07
 7040.00       5.000e-08
 7060.00       1.500e-07
 7080.00       0.000e+00
 7100.00       5.000e-08
 7120.00       1.500e-07
 7140.00       5.000e-08
 7160.00       5.000e-08
 7180.00       1.500e-07
 7200.00       0.000e+00
 7220.00       5.000e-08
 7240.00       5.000e-08
 7260.00       1.000e-07
 7280.00       5.000e-08
 7300.00       2.000e-07
 7320.00       1.000e-07
 7340.00       1.000e-07
 7360.00       1.000e-07
 7380.00       0.000e+00
 7400.00       1.000e-07
 7420.00       5.000e-08
 7440.00       0.000e+00
 7460.00       1.000e-07
 7480.00       5.000e-08
 7500.00       5.000e-08
 7520.00       0.000e+00
 7540.00       5.000e-08
 7560.00       5.000e-08
 7580.00       1.500e-07
 7600.00       5.000e-08
 7620.00       1.000e-07
 7640.00       0.000e+00
 7660.00       0.000e+00
 7680.00       2.000e-07
 7700.00       3.000e-07
 7720.00       1.500e-07
 7740.00       1.500e-07
 7760.00       1.500e-07
 7780.00       1.500e-07
 7800.00       0.000e+00
 7820.00       1.500e-07
 7840.00       1.500e-07
 7860.00       1.000e-07
 7880.00       1.500e-07
 7900.00       5.000e-08
 7920.00       0.000e+00
 7940.00       5.000e-08
 7960.00       0.000e+00
 7980.00       2.500e-07
 8000.00       0.000e+00
 8020.00       2.000e-07
 8040.00       1.500e-07
 8060.00       5.000e-08
 8080.00       5.000e-08
 8100.00       5.000e-08
 8120.00       5.000e-08
 8140.00       0.000e+00
 8160.00       1.500e-07
 8180.00       1.500e-07
 8200.00       5.000e-08
 8220.00       5.000e-08
 8240.00       0.000e+00
 8260.00       0.000e+00
 8280.00       5.000e-08
 8300.00       0.000e+00
 8320.00       0.000e+00
 8340.00       0.000e+00
 8360.00       0.000e+00
 8380.00       0.000e+00
 8400.00       0.000e+00
 8420.00       0.000e+00
 8440.00       0.000e+00
 8460.00       5.000e-08
 8480.00       0.000e+00
 8500.00       2.000e-07
 8520.00       0.000e+00
 8540.00       5.000e-08
 8560.00       0.000e+00
 8580.00       0.000e+00
 8600.00       5.000e-08
 8620.00       0.000e+00
 8640.00       5.000e-08
 8660.00       0.000e+00
 8680.00       5.000e-08
 8700.00       1.000e-07
 8720.00       1.000e-07
 8740.00       5.000e-08
 8760.00       5.000e-08
 8780.00       0.000e+00
 8800.00       1.000e-07
 8820.00       5.000e-08
 8840.00       5.000e-08
 8860.00       0.000e+00
 8880.00       5.000e-08
 8900.00       5.000e-08
 8920.00       1.500e-07
 8940.00       5.000e-08
 8960.00       0.000e+00
 8980.00       5.000e-08
 9000.00       5.000e-08
 9020.00       5.000e-08
 9040.00       0.000e+00
 9060.00       1.000e-07
 9080.00       1.000e-07
 9100.00       5.000e-08
 9120.00       5.000e-08
 9140.00       0.000e+00
 9160.00       0.000e+00
 9180.00       0.000e+00
 9200.00       0.000e+00
 9220.00       0.000e+00
 9240.00       0.000e+00
 9260.00       0.000e+00
 9280.00       0.000e+00
 9300.00       0.000e+00
 9320.00       0.000e+00
 9340.00       0.000e+00
 9360.00       0.000e+00
 9380.00       0.000e+00
 9400.00       0.000e+00
 9420.00       0.000e+00
 9440.00       0.000e+00
 9460.00       0.000e+00
 9480.00       0.000e+00
 9500.00       0.000e+00
 9520.00       0.000e+00
 9540.00       0.000e+00
 9560.00       0.000e+00
 9580.00       0.000e+00
 9600.00       0.000e+00
 9620.00       0.000e+00
 9640.00       0.000e+00
 9660.00       0.000e+00
 9680.00       0.000e+00
 9700.00       0.000e+00
 9720.00       0.000e+00
 9740.00       0.000e+00
 9760.00       0.000e+00
 9780.00       0.000e+00
 9800.00       0.000e+00
 9820.00       0.000e+00
 9840.00       0.000e+00
 9860.00       0.000e+00
 9880.00       0.000e+00
 9900.00       0.000e+00
 9920.00       0.000e+00
 9940.00       0.000e+00
 9960.00       0.000e+00
 9980.00       0.000e+00
10000.00       0.000e+00
10020.00       1.500e-07
10040.00       0.000e+00
10060.00       0.000e+00
10080.00       0.000e+00
10100.00       5.000e-08
10120.00       1.500e-07
10140.00       4.000e-07
10160.00       1.000e-07
10180.00       2.000e-07
10200.00       5.000e-08
10220.00       1.500e-07
10240.00       5.000e-08
10260.00       0.000e+00
10280.00       0.000e+00
10300.00       0.000e+00
10320.00       0.000e+00
10340.00       0.000e+00
10360.00       0.000e+00
10380.00       0.000e+00
10400.00       0.000e+00
10420.00       0.000e+00
10440.00       0.000e+00
10460.00       0.000e+00
10480.00       0.000e+00
10500.00       0.000e+00
10520.00       0.000e+00
10540.00       0.000e+00
10560.00       0.000e+00
10580.00       0.000e+00
10600.00       5.000e-08
10620.00       5.000e-08
10640.00       1.000e-07
10660.00       5.000e-08
10680.00       1.000e-07
10700.00       0.000e+00
10720.00       5.000e-08
10740.00       0.000e+00
10760.00       0.000e+00
10780.00       0.000e+00
10800.00       5.000e-08
10820.00       2.000e-07
10840.00       1.000e-07
10860.00       1.500e-07
10880.00       2.000e-07
10900.00       1.000e-07
10920.00       1.500e-07
10940.00       1.000e-07
10960.00       2.000e-07
10980.00       1.000e-07
11000.00       5.000e-08
11020.00       2.000e-07
11040.00       0.000e+00
11060.00       5.000e-08
11080.00       1.000e-07
11100.00       1.500e-07
11120.00       0.000e+00
11140.00       0.000e+00
11160.00       1.500e-07
11180.00       5.000e-08
11200.00       5.000e-08
11220.00       1.000e-07
11240.00       0.000e+00
11260.00       0.000e+00
11280.00       0.000e+00
11300.00       0.000e+00
11320.00       0.000e+00
11340.00       0.000e+00
11360.00       0.000e+00
11380.00       0.000e+00
11400.00       0.000e+00
11420.00       0.000e+00
11440.00       0.000e+00
11460.00       0.000e+00
11480.00       1.500e-07
11500.00       4.000e-07
11520.00       5.000e-08
11540.00       2.000e-07
11560.00       2.500e-07
11580.00       0.000e+00
11600.00       5.000e-08
11620.00       0.000e+00
11640.00       0.000e+00
11660.00       1.000e-07
11680.00       1.500e-07
11700.00       2.000e-07
11720.00       0.000e+00
11740.00       0.000e+00
11760.00       5.000e-08
11780.00       5.000e-08
11800.00       1.000e-07
11820.00       5.000e-08
11840.00       0.000e+00
11860.00       5.000e-08
11880.00       0.000e+00
11900.00       0.000e+00
11920.00       5.000e-08
11940.00       0.000e+00
11960.00       0.000e+00
11980.00       0.000e+00
12000.00       0.000e+00
12020.00       5.000e-08
12040.00       0.000e+00
12060.00       0.000e+00
12080.00       0.000e+00
12100.00       0.000e+00
12120.00       0.000e+00
12140.00       0.000e+00
12160.00       0.000e+00
12180.00       0.000e+00
12200.00       0.000e+00
12220.00       0.000e+00
12240.00       0.000e+00
12260.00       0.000e+00
12280.00       0.000e+00
12300.00       0.000e+00
12320.00       0.000e+00
12340.00       0.000e+00
12360.00       0.000e+00
12380.00       0.000e+00
12400.00       0.000e+00
12420.00       0.000e+00
12440.00       0.000e+00
12460.00       0.000e+00
12480.00       0.000e+00
12500.00       0.000e+00
12520.00       0.000e+00
12540.00       0.000e+00
12560.00       0.000e+00
12580.00       0.000e+00
12600.00       0.000e+00
12620.00       0.000e+00
12640.00       0.000e+00
12660.00       0.000e+00
12680.00       0.000e+00
12700.00       0.000e+00
12720.00       0.000e+00
12740.00       0.000e+00
12760.00       0.000e+00
12780.00       0.000e+00
12800.00       0.000e+00
12820.00       0.000e+00
12840.00       0.000e+00
12860.00       0.000e+00
12880.00       0.000e+00
12900.00       0.000e+00
12920.00       0.000e+00
12940.00       0.000e+00
12960.00       0.000e+00
12980.00       0.000e+00
13000.00       5.000e-08
13020.00       0.000e+00
13040.00       5.000e-08
13060.00       1.500e-07
13080.00       1.500e-07
13100.00       0.000e+00
13120.00       5.000e-08
13140.00       1.000e-07
13160.00       5.000e-08
13180.00       1.000e-07
13200.00       5.000e-08
13220.00       0.000e+00
13240.00       1.500e-07
